job_id,role,link,company,company_rating,reviews,exp_req,salary,locations,job_posted,domains
160523501052,Human Resources and L&D,https://www.naukri.com/job-listings-human-resources-and-l-d-star-bucks-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-0-to-2-years-160523501052,Starbucks,4.3,492 Reviews,0-2 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['scheduling', 'resource', 'hrsd', 'performance management', 'management', 'performance', 'e-learning', 'policies']"
290323009831,Pega Developer | CSSA & LSA | HCL Technologies,https://www.naukri.com/job-listings-pega-developer-cssa-lsa-hcl-technologies-careernet-technologies-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-india-7-to-12-years-290323009831,Careernet Technologies,NA,NA,7-12 Yrs,30-45 Lacs PA,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas), india",NA,"['Cssa Certified', 'ccsa', 'pega prpc', 'development', 'prpc', 'certified', 'lca', 'pega development']"
160523500541,Engineer - Production (SCR),https://www.naukri.com/job-listings-engineer-production-scr-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-160523500541,Sandhar Technologies,3.9,450 Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['engineering', 'production engineering', 'data', 'control', 'data analysis', 'scr', 'quality control', 'production']"
160523500523,Assistant Manager - Production (SCH),https://www.naukri.com/job-listings-assistant-manager-production-sch-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-9-years-160523500523,Sandhar Technologies,3.9,450 Reviews,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['analysis', 'control', 'quality control', 'production', 'production management', 'management', 'assistance', 'quality']"
160523500501,Senior Engineer - QA (SCR),https://www.naukri.com/job-listings-senior-engineer-qa-scr-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-160523500501,Sandhar Technologies,3.9,450 Reviews,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['manual', 'manual testing', 'senior', 'automation', 'quality assurance', 'scr', 'software testing', 'testing']"
160523500490,Engineer - QA (SIA),https://www.naukri.com/job-listings-engineer-qa-sia-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-6-years-160523500490,Sandhar Technologies,3.9,450 Reviews,4-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['software analysis', 'engineering', 'quality assurance', 'software', 'installation', 'analysis', 'Engineer - QA(SIA)']"
160523500372,Senior Engineer - QA(SCR),https://www.naukri.com/job-listings-senior-engineer-qa-scr-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-160523500372,Sandhar Technologies,3.9,450 Reviews,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['scr', 'quality assurance', 'senior']"
160523500371,Senior Engineer - Production(SCN),https://www.naukri.com/job-listings-senior-engineer-production-scn-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-6-years-160523500371,Sandhar Technologies,3.9,450 Reviews,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['senior', 'production', 'Senior Engineer - Production(SCN)']"
160523500370,Junior Engineer - QA(SID),https://www.naukri.com/job-listings-junior-engineer-qa-sid-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-5-years-160523500370,Sandhar Technologies,3.9,450 Reviews,1-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['sid', 'quality assurance']"
160523500367,Junior Engineer - Production(SCH),https://www.naukri.com/job-listings-junior-engineer-production-sch-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-5-years-160523500367,Sandhar Technologies,3.9,450 Reviews,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['production engineering', 'production', 'Junior Engineer Production']"
160523500365,Junior Engineer - AM&MD(SCH),https://www.naukri.com/job-listings-junior-engineer-am-md-sch-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-6-years-160523500365,Sandhar Technologies,3.9,450 Reviews,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['ams', 'mdt', 'Junior Engineer - AM&MD(SCH)']"
160523500363,Executive- F&A(SAB),https://www.naukri.com/job-listings-executive-f-a-sab-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-5-years-160523500363,Sandhar Technologies,3.9,450 Reviews,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['f#', 've', 'senior', 'Senior Executive']"
160523500362,Engineer - QA(SID),https://www.naukri.com/job-listings-engineer-qa-sid-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-6-years-160523500362,Sandhar Technologies,3.9,450 Reviews,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['engineering', 'quality assurance', 'sid']"
160523500361,Engineer - QA(SIA),https://www.naukri.com/job-listings-engineer-qa-sia-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-6-years-160523500361,Sandhar Technologies,3.9,450 Reviews,4-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['development', 'quality assurance', 'analytical', 'product quality', 'engineering', 'test scripts', 'automation tools', 'scripting']"
160523500360,Engineer - QA(SCN),https://www.naukri.com/job-listings-engineer-qa-scn-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-5-years-160523500360,Sandhar Technologies,3.9,450 Reviews,1-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['automation', 'test scripts', 'quality assurance engineering', 'software testing', 'software quality', 'analytical', 'management', 'analytics']"
160523500358,Engineer - QA(SCD),https://www.naukri.com/job-listings-engineer-qa-scd-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-6-years-160523500358,Sandhar Technologies,3.9,450 Reviews,4-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['application', 'software quality', 'scripting', 'scd', 'quality assurance engineering', 'management', 'case', 'automation testing']"
160523500356,Engineer - Production(SID),https://www.naukri.com/job-listings-engineer-production-sid-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-6-years-160523500356,Sandhar Technologies,3.9,450 Reviews,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['engineering', 'production', 'sid', 'production engineering']"
160523500354,Engineer - Production(SCR),https://www.naukri.com/job-listings-engineer-production-scr-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-160523500354,Sandhar Technologies,3.9,450 Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['engineering', 'production', 'production engineering', 'scr']"
160523500353,Engineer - Production(SCN),https://www.naukri.com/job-listings-engineer-production-scn-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-5-years-160523500353,Sandhar Technologies,3.9,450 Reviews,1-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['process', 'documentation', 'monitoring', 'quality', 'production', 'mapping', 'management', 'engineering']"
160523500352,Engineer - Production(SAB),https://www.naukri.com/job-listings-engineer-production-sab-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-6-years-160523500352,Sandhar Technologies,3.9,450 Reviews,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['production engineering', 'lean manufacturing', 'production technology', 'project', 'machinery', 'improvement', 'lean', 'engineering']"
160523500350,Assistant Manager - Production(SID),https://www.naukri.com/job-listings-assistant-manager-production-sid-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-8-years-160523500350,Sandhar Technologies,3.9,450 Reviews,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['production', 'sid', 'production management', 'management', 'assistance', 'Assistant Manager Production']"
160523500349,Assistant Manager - Production(SCH),https://www.naukri.com/job-listings-assistant-manager-production-sch-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-9-years-160523500349,Sandhar Technologies,3.9,450 Reviews,4-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['control', 'continuous improvement', 'maintenance', 'monitoring', 'maintenance engineering', 'improvement', 'manufacturing', 'lean']"
160523500348,Assistant Manager - HR(SCB),https://www.naukri.com/job-listings-assistant-manager-hr-scb-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-4-to-7-years-160523500348,Sandhar Technologies,3.9,450 Reviews,4-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['human resource management', 'assistance', 'training and development', 'interview scheduling', 'engagement', 'recruitment', 'monitoring', 'hrsd']"
160523500346,Assistant Manager - ED&D(SCB),https://www.naukri.com/job-listings-assistant-manager-ed-d-scb-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-6-years-160523500346,Sandhar Technologies,3.9,450 Reviews,3-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['ed', 'training', 'quality', 'assistance', 'product quality', 'management']"
160523010043,Oracle Database Administrator,https://www.naukri.com/job-listings-oracle-database-administrator-teamlease-digital-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-3-to-8-years-160523010043,Teamlease Digital,NA,NA,3-8 Yrs,2.75-6 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",NA,"['exadata', 'oracle', 'oracle dba', 'oracle database', 'database administration', 'administration', 'dbms']"
160523007827,Sap Plm Consultant,https://www.naukri.com/job-listings-sap-plm-consultant-tata-consultancy-services-tcs-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-11-to-15-years-160523007827,Tata Consultancy Services (TCS),3.9,56210 Reviews,11-15 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",NA,"['plm', 'SAP PLM', 'life cycle', 'life cycle management', 'sap', 'product management', 'product life cycle', 'product life cycle management']"
160523005710,Abinitio Developer,https://www.naukri.com/job-listings-abinitio-developer-capgemini-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-9-years-160523005710,Capgemini,3.9,22922 Reviews,4-9 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",NA,"['ab initio', 'gde', 'unix', 'initio', 'ab', 'development']"
160523005690,Big Data Developer,https://www.naukri.com/job-listings-big-data-developer-cognizant-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-6-to-9-years-160523005690,Cognizant,3.9,33098 Reviews,6-9 Yrs,4-9 Lacs PA,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",NA,"['hive', 'scala', 'spark', 'hadoop', 'big data', 'development', 'data', 'big data administration']"
160523003635,Urgent Hiring || API Automation Requirement || Wipro Ltd,https://www.naukri.com/job-listings-urgent-hiring-api-automation-requirement-wipro-ltd-wipro-bhubaneswar-kolkata-hyderabad-secunderabad-pune-chennai-coimbatore-bangalore-bengaluru-mumbai-all-areas-noida-4-to-9-years-160523003635,Wipro,3.9,26330 Reviews,4-9 Yrs,3-8 Lacs PA,"Hybrid - Bhubaneswar, Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Bangalore/Bengaluru, Mumbai (All Areas), Noida",NA,"['java', 'automation testing', 'API Testing', 'API Automation', 'hiring', 'sdet', 'automation', 'rest']"
160423001693,SAP ABAP Consultant _PAN India (3-6.5 years),https://www.naukri.com/job-listings-sap-abap-consultant-pan-india-3-6-5-years-tata-consultancy-services-tcs-kolkata-hyderabad-secunderabad-pune-ahmedabad-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-3-to-6-years-160423001693,Tata Consultancy Services (TCS),3.9,56210 Reviews,3-6 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",NA,"['sap abap', 'OO ABAP', 'abap on hana', 'sap', 'abap', 'sap hana', 'consulting']"
150523500667,Engineer - Production(SCH),https://www.naukri.com/job-listings-engineer-production-sch-sandhar-technologies-limited-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-7-years-150523500667,Sandhar Technologies,3.9,450 Reviews,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['engineering', 'production engineering', 'production', 'Engineer - Production(SCH)']"
150523500080,Sr. Engineer,https://www.naukri.com/job-listings-sr-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500080,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['engineering', 'mechanical', 'design', 'change management', 'sr', 'change', 'mechanical engineering', 'mechanical design']"
150523500079,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500079,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['python', 'c++', 'embedded systems', 'software engineering', 'automotive', 'software', 'software testing', 'sr']"
150523500074,Linux Admin,https://www.naukri.com/job-listings-linux-admin-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-5-years-150523500074,Essenware Private Limted,NA,NA,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['linux administration', 'corporate training', 'tds', 'linux', 'administration', 'training', 'corporate', 'Linux Administrator']"
150523500069,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500069,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['software', 'test cases', 'business rules', 'rules', 'sr', 'software testing', 'case', 'software engineering']"
150523500065,Team Lead,https://www.naukri.com/job-listings-team-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-6-to-11-years-150523500065,Essenware Private Limted,NA,NA,6-11 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['electrical engineering', 'engineering', 'team leading', 'turbine', 'team', 'electricals']"
150523500063,Tech Lead,https://www.naukri.com/job-listings-tech-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-150523500063,Essenware Private Limted,NA,NA,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['microsoft windows', 'leadership development', 'technical analysis', 'development', 'technical leadership', 'technical', 'Development Lead', 'Technical Lead']"
150523500062,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-8-years-150523500062,Essenware Private Limted,NA,NA,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['sr', 'automotive', 'software testing', 'software engineering', 'software', 'Software Engineer 3', 'Testing']"
150523500060,Automation Tester,https://www.naukri.com/job-listings-automation-tester-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500060,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['automation testing', 'automation', 'software testing', 'selenium']"
150523500059,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500059,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['sr', 'software engineering', 'plm', 'software', 'cad']"
150523500057,Team Lead,https://www.naukri.com/job-listings-team-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-150523500057,Essenware Private Limted,NA,NA,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['linux', 'deployment', 'shell scripting', 'paas', 'continuous integration', 'team', 'virtualization', 'gcp']"
150523500056,Tech Lead,https://www.naukri.com/job-listings-tech-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-150523500056,Essenware Private Limted,NA,NA,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['technical', 'technical leadership', 'technical analysis', 'javascript', 'design', 'development', 'jquery', 'microsoft']"
150523500053,Sr. Security Analyst,https://www.naukri.com/job-listings-sr-security-analyst-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-150523500053,Essenware Private Limted,NA,NA,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['system administration', 'administration', 'linux', 'unix', 'security analysis', 'scripting', 'sr', 'system']"
150523500049,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500049,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['open source', 'plsql', 'software engineering', 'software', 'operating systems', 'sr', 'bss', 'telecom']"
150523500048,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500048,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['software', 'debugging', 'autosar', 'sr', 'software testing', 'trace32', 'c', 'software engineering']"
150523500047,Tech Lead,https://www.naukri.com/job-listings-tech-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-5-years-150523500047,Essenware Private Limted,NA,NA,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['ui', 'interfaces', 'design', 'technical leadership', 'technical', 'interface design', 'technical analysis', 'usage']"
150523500046,Technical Architect,https://www.naukri.com/job-listings-technical-architect-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-8-years-150523500046,Essenware Private Limted,NA,NA,5-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['technical', 'architecture', 'technical architecture', 'Technical Architect', 'Solution Architect']"
150523500045,Tech Lead,https://www.naukri.com/job-listings-tech-lead-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-8-years-150523500045,Essenware Private Limted,NA,NA,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['technical', 'microservices', 'core', 'java', 'technical analysis', 'technical leadership', 'Core Java', 'Technical Lead']"
150523500044,Program Manager,https://www.naukri.com/job-listings-program-manager-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-7-years-150523500044,Essenware Private Limted,NA,NA,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['project', 'j2ee', 'project management', 'program management', 'management', 'program', 'oracle', 'Manager Project Management']"
150523500042,Sr. Software Engineer,https://www.naukri.com/job-listings-sr-software-engineer-essenware-private-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-150523500042,Essenware Private Limted,NA,NA,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",NA,"['selenium', 'automation', 'sr', 'software testing', 'software engineering', 'selenium testing', 'automation testing', 'software']"
